"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Baldwin Hills",-118.356095,34.014825,31125,956,3108,29,75,10574,33889,901,2943,"Los Angeles - Baldwin Hills"
"Bel Air",-118.460296,34.098692,8429,138,1807,0,0,3611,46965,122,1627,"Los Angeles - Bel Air"
"Beverly Crest",-118.424404,34.11298,12525,239,2329,2,9,5334,48410,203,2020,"Los Angeles - Beverly Crest"
"Beverlywood",-118.394492,34.044747,13173,279,2225,0,0,6191,49391,249,1969,"Los Angeles - Beverlywood"
"Boyle Heights",-118.20533,34.03815,86884,6558,7531,85,116,36481,41825,6517,7468,"Los Angeles - Boyle Heights"
"Brentwood",-118.485909,34.08524,30955,566,1765,5,14,15561,48459,485,1525,"Los Angeles - Brentwood"
"Brookside",-118.336327,34.058936,581,7,1135,0,0,289,56735,7,1135,"Los Angeles - Brookside"
"Cadillac Corning",-118.381794,34.042513,7121,226,3133,2,39,2387,32480,219,3036,"Los Angeles - Cadillac-Corning"
"Canoga Park",-118.600829,34.208098,65289,3419,5198,75,150,23300,35273,3299,4973,"Los Angeles - Canoga Park"
"Carthay",-118.372894,34.07124,14363,382,3515,18,61,7680,74466,339,3141,"Los Angeles - Carthay"
"Central",-118.258141,34.016399,38992,3065,7982,47,187,14676,38628,3074,7999,"Los Angeles - Central"
"Century City",-118.419399,34.052715,12792,222,2060,2,7,5786,51214,199,1859,"Los Angeles - Century City"
"Century Palms Cove",-118.267985,33.932641,33766,2259,6767,23,102,12040,36177,2255,6767,"Los Angeles - Century Palms/Cove"
"Chatsworth",-118.596089,34.256617,37061,1286,3596,35,62,14754,39146,1229,3471,"Los Angeles - Chatsworth"
"Cheviot Hills",-118.408801,34.041277,9171,150,1800,2,10,4824,56177,129,1523,"Los Angeles - Cheviot Hills"
"Chinatown",-118.240969,34.06146,8021,267,3438,3,21,3117,37295,258,3316,"Los Angeles - Chinatown"
"Cloverdale Cochran",-118.356007,34.038941,14553,523,3458,5,37,5373,35639,511,3383,"Los Angeles - Cloverdale/Cochran"
"Country Club Park",-118.325579,34.054301,15153,571,3528,36,177,5906,37671,540,3338,"Los Angeles - Country Club Park"
"Crenshaw District",-118.335877,34.023057,13829,503,3661,4,18,5580,40305,496,3607,"Los Angeles - Crenshaw District"
"Crestview",-118.378658,34.049595,11368,313,2785,22,170,5457,49700,283,2514,"Los Angeles - Crestview"
"Del Rey",-118.424311,33.989764,29936,682,2327,9,23,11419,37897,622,2133,"Los Angeles - Del Rey"
"Downtown",-118.257803,34.044724,27507,1484,5647,19,55,19013,67631,1392,5257,"Los Angeles - Downtown"
"Eagle Rock",-118.205209,34.135207,39589,1157,2857,28,50,19041,48373,1116,2771,"Los Angeles - Eagle Rock"
"East Hollywood",-118.292538,34.09217,29287,1063,3434,49,144,11277,35662,984,3179,"Los Angeles - East Hollywood"
"Echo Park",-118.255001,34.082177,14256,463,3250,7,45,8538,57053,462,3258,"Los Angeles - Echo Park"
"El Sereno",-118.177515,34.081112,41808,2162,5105,40,91,17865,42158,2156,5097,"Los Angeles - El Sereno"
"Elysian Park",-118.240334,34.078256,5712,179,3025,0,0,2689,43527,171,2913,"Los Angeles - Elysian Park"
"Elysian Valley",-118.237642,34.092694,10171,419,4009,5,44,4664,44619,411,3933,"Los Angeles - Elysian Valley"
"Encino",-118.501697,34.155925,45172,1244,2980,23,25,19945,45983,1104,2672,"Los Angeles - Encino"
"Exposition",-118.349778,34.026624,3326,111,3211,2,62,1281,36867,111,3223,"Los Angeles - Exposition"
"Exposition Park",-118.297919,34.018599,44917,2158,4824,27,83,15009,32717,2105,4716,"Los Angeles - Exposition Park"
"Faircrest Heights",-118.371706,34.038691,3600,66,1721,1,23,1520,41495,52,1358,"Los Angeles - Faircrest Heights"
"Figueroa Park Square",-118.286739,33.93256,8721,496,5722,6,73,3175,36589,480,5518,"Los Angeles - Figueroa Park Square"
"Florence Firestone",-118.267376,33.974897,47445,3539,7512,38,106,18124,38796,3544,7513,"Los Angeles - Florence-Firestone"
"Glassell Park",-118.231508,34.118242,31604,1130,3523,15,39,13682,43254,1117,3492,"Los Angeles - Glassell Park"
"Gramercy Place",-118.309409,33.951267,10764,411,3968,6,44,3916,36634,404,3905,"Los Angeles - Gramercy Place"
"Granada Hills",-118.504152,34.291056,58191,2320,3902,79,98,22273,37626,2215,3719,"Los Angeles - Granada Hills"
"Green Meadows",-118.263144,33.950734,21505,1379,6428,15,99,7720,36364,1383,6415,"Los Angeles - Green Meadows"
"Hancock Park",-118.32887,34.069715,17039,380,2385,4,22,7651,47566,340,2153,"Los Angeles - Hancock Park"
"Harbor City",-118.296386,33.781993,29070,806,2753,12,33,7297,24848,738,2525,"Los Angeles - Harbor City"
"Harbor Gateway",-118.29466,33.866487,43600,1574,3532,18,47,12263,27652,1471,3309,"Los Angeles - Harbor Gateway"
"Harbor Pines",-118.304543,33.78262,2409,52,2221,0,0,587,24434,44,1837,"Los Angeles - Harbor Pines"
"Harvard Heights",-118.304644,34.043582,18035,816,4465,30,200,5705,30910,773,4211,"Los Angeles - Harvard Heights"
"Harvard Park",-118.298016,33.981859,37935,2408,6316,27,78,14702,38652,2396,6278,"Los Angeles - Harvard Park"
"Highland Park",-118.187118,34.112134,48391,1953,3956,25,57,20569,41502,1933,3914,"Los Angeles - Highland Park"
"Historic Filipinotown",-118.271077,34.070245,13870,708,4832,16,104,6208,41950,685,4671,"Los Angeles - Historic Filipinotown"
"Hollywood",-118.35386,34.100299,68254,2104,2814,20,31,29185,37628,1962,2639,"Los Angeles - Hollywood"
"Hollywood Hills",-118.346365,34.120516,29434,616,2317,6,19,14370,52559,554,2151,"Los Angeles - Hollywood Hills"
"Hyde Park",-118.328048,33.983083,28541,1207,4177,14,42,10892,37832,1174,4063,"Los Angeles - Hyde Park"
"Jefferson Park",-118.322769,34.02425,8073,431,5272,1,9,2987,36660,426,5208,"Los Angeles - Jefferson Park"
"Koreatown",-118.304346,34.054588,51693,1789,3375,36,69,16424,30368,1712,3227,"Los Angeles - Koreatown"
"Lafayette Square",-118.334892,34.043401,4559,182,3934,3,64,1706,36449,181,3917,"Los Angeles - Lafayette Square"
"Lake Balboa",-118.498229,34.198949,42206,1867,4387,21,57,16529,38490,1827,4297,"Los Angeles - Lake Balboa"
"Lakeview Terrace",-118.37398,34.274649,13133,890,6734,26,225,5600,42198,861,6483,"Los Angeles - Lakeview Terrace"
"Leimert Park",-118.32453,34.006034,15235,522,3434,9,47,5803,37393,481,3158,"Los Angeles - Leimert Park"
"Lincoln Heights",-118.205364,34.081157,32597,1725,5168,56,146,14028,42279,1694,5093,"Los Angeles - Lincoln Heights"
"Little Armenia",-118.304855,34.094457,8025,491,5407,50,514,3496,39501,354,3987,"Los Angeles - Little Armenia"
"Little Bangladesh",-118.300377,34.065378,28343,838,2923,7,25,9747,33954,807,2805,"Los Angeles - Little Bangladesh"
"Little Tokyo",-118.241598,34.046994,3133,145,5197,1,15,2333,83870,137,4661,"Los Angeles - Little Tokyo"
"Longwood",-118.343548,34.036097,4304,195,4486,0,0,1774,40581,180,4121,"Los Angeles - Longwood"
"Los Feliz",-118.299672,34.131749,21608,396,2016,3,8,12143,61449,368,1890,"Los Angeles - Los Feliz"
"Manchester Square",-118.311191,33.967273,8536,314,3772,6,51,2994,35380,303,3633,"Los Angeles - Manchester Square"
"Mandeville Canyon",-118.508629,34.091814,3124,46,1712,0,0,1587,63591,37,1435,"Los Angeles - Mandeville Canyon"
"Mar Vista",-118.436957,34.013245,42471,606,1496,8,15,17609,42274,570,1418,"Los Angeles - Mar Vista"
"Marina Peninsula",-118.460393,33.972411,4360,61,1858,1,12,2028,59346,53,1748,"Los Angeles - Marina Peninsula"
"Melrose",-118.334586,34.082723,77696,3090,3922,81,104,35241,43386,2895,3681,"Los Angeles - Melrose"
"Midcity",-118.353944,34.049526,15030,431,2863,21,126,6686,44300,398,2656,"Los Angeles - Mid-city"
"Miracle Mile",-118.353469,34.059456,17985,324,1658,6,33,8473,44398,289,1481,"Los Angeles - Miracle Mile"
"Mission Hills",-118.457528,34.266942,24124,1547,6173,58,177,10691,43310,1525,6091,"Los Angeles - Mission Hills"
"Mt Washington",-118.216378,34.099553,24145,918,3753,19,74,10650,43858,908,3709,"Los Angeles - Mt. Washington"
"North Hills",-118.478218,34.238739,61575,3283,5239,57,105,21932,35125,3208,5113,"Los Angeles - North Hills"
"North Hollywood",-118.390769,34.190006,151421,7084,4498,90,66,58354,36487,6780,4309,"Los Angeles - North Hollywood"
"Northridge",-118.52853,34.237368,69797,2630,3678,51,58,26691,37094,2543,3558,"Los Angeles - Northridge"
"Pacific Palisades",-118.531425,34.046284,21291,256,1477,4,9,9957,54218,219,1271,"Los Angeles - Pacific Palisades"
"Pacoima",-118.416768,34.265724,76979,6372,8232,73,127,33276,43288,6325,8153,"Los Angeles - Pacoima"
"Palisades Highlands",-118.548762,34.089984,3846,60,1879,0,0,1541,47977,53,1727,"Los Angeles - Palisades Highlands"
"Palms",-118.412847,34.023755,43877,865,2133,31,94,19034,44166,793,1972,"Los Angeles - Palms"
"Panorama City",-118.444601,34.224297,75250,4994,6607,104,185,28133,37122,4810,6326,"Los Angeles - Panorama City"
