"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Tarzana",-118.549107,34.156974,30876,1304,4170,39,79,14498,46444,1210,3891,"Los Angeles - Tarzana"
"Temple Beaudry",-118.26774,34.069826,39482,1982,4867,33,93,16241,38501,1967,4826,"Los Angeles - Temple-Beaudry"
"Thai Town",-118.304431,34.102003,9809,315,3080,4,29,3946,37869,304,3006,"Los Angeles - Thai Town"
"Toluca Lake",-118.357673,34.15055,8704,190,2599,2,20,4381,55655,175,2435,"Los Angeles - Toluca Lake"
"Toluca Terrace",-118.35844,34.166653,1306,41,3400,1,72,551,43264,42,3446,"Los Angeles - Toluca Terrace"
"Toluca Woods",-118.357555,34.159662,1858,41,2444,0,0,885,54681,37,2265,"Los Angeles - Toluca Woods"
"Tujunga",-118.288497,34.25113,27810,991,3523,18,54,9155,31814,907,3232,"Los Angeles - Tujunga"
"University Hills",-118.168371,34.068093,3429,98,2830,1,19,1178,34254,97,2853,"Los Angeles - University Hills"
"University Park",-118.278835,34.027991,27456,1588,5959,24,161,10153,33082,1442,5556,"Los Angeles - University Park"
"Valley Glen",-118.426504,34.182525,30016,1338,4395,21,70,10964,35788,1251,4126,"Los Angeles - Valley Glen"
"Valley Village",-118.395153,34.163461,24720,788,3237,30,99,12047,49980,715,2940,"Los Angeles - Valley Village"
"Van Nuys",-118.462798,34.201032,93194,5686,6085,113,150,34417,36350,5403,5748,"Los Angeles - Van Nuys"
"Venice",-118.462067,33.993791,33885,609,2291,4,11,15172,49675,527,1988,"Los Angeles - Venice"
"Vermont Knolls",-118.294776,33.968255,17200,1087,6256,19,122,6452,37395,1078,6208,"Los Angeles - Vermont Knolls"
"Vermont Square",-118.298043,33.999376,7657,536,6895,6,81,3220,41918,519,6680,"Los Angeles - Vermont Square"
"Vermont Vista",-118.282068,33.954326,41186,2923,7192,27,94,15046,37457,2931,7217,"Los Angeles - Vermont Vista"
"Vernon Central",-118.251565,34.000396,51998,4440,8657,47,131,21316,42049,4398,8535,"Los Angeles - Vernon Central"
"Victoria Park",-118.32462,34.044,8399,371,4285,3,29,2664,30857,364,4224,"Los Angeles - Victoria Park"
"View Heights",-118.348176,33.984966,3694,84,2278,3,63,1316,35430,81,2273,"Los Angeles - View Heights"
"Watts",-118.241149,33.940452,42674,2964,7245,40,151,16077,39912,2971,7248,"Los Angeles - Watts"
"Wellington Square",-118.333492,34.035815,4915,209,4266,3,65,2022,40807,212,4329,"Los Angeles - Wellington Square"
"West Adams",-118.307847,34.035612,27630,1412,5033,45,158,11310,39965,1333,4754,"Los Angeles - West Adams"
"West Hills",-118.63607,34.211472,40545,1044,2680,49,77,15794,40296,925,2433,"Los Angeles - West Hills"
"West Los Angeles",-118.450481,34.040753,37636,879,2386,20,56,18499,48104,820,2231,"Los Angeles - West Los Angeles"
"West Vernon",-118.300192,34.000114,53644,3677,6821,57,135,21611,40082,3582,6657,"Los Angeles - West Vernon"
"Westchester",-118.40607,33.952357,51603,816,1495,21,37,19892,37254,741,1360,"Los Angeles - Westchester"
"Westlake",-118.272224,34.057208,59355,3333,5636,157,309,21129,34744,3146,5292,"Los Angeles - Westlake"
"Westwood",-118.438137,34.065931,54109,891,1351,7,13,27111,40643,834,1248,"Los Angeles - Westwood"
"Wholesale District",-118.233106,34.041547,36129,3197,7808,37,123,32611,77712,2954,7236,"Los Angeles - Wholesale District"
"Wilmington",-118.253276,33.785869,56487,2871,5053,28,62,16140,28652,2600,4563,"Los Angeles - Wilmington"
"Wilshire Center",-118.295338,34.068376,50170,1829,3546,40,77,17640,33880,1773,3449,"Los Angeles - Wilshire Center"
"Winnetka",-118.575929,34.213111,51786,2458,4635,28,56,19725,36982,2454,4634,"Los Angeles - Winnetka"
"Woodland Hills",-118.604522,34.16635,68055,1775,2679,35,31,29844,43321,1676,2552,"Los Angeles - Woodland Hills"
