geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
Los Angeles - University Park,10392,37850.0,34147,1514,5514,5939,27456.0
Los Angeles - Valley Glen,11407,38003.0,37265,1427,4754,4703,30016.0
Los Angeles - Valley Village,12381,50085.0,51409,785,3176,3235,24720.0
Los Angeles - Van Nuys,35886,38507.0,37902,5976,6412,6361,93194.0
Los Angeles - Venice,16218,47862.0,53025,610,1800,2262,33885.0
Los Angeles - Vermont Knolls,6705,38983.0,38839,1203,6994,6941,17200.0
Los Angeles - Vermont Square,3340,43620.0,43513,578,7549,7417,7657.0
Los Angeles - Vermont Vista,15652,38003.0,38928,3171,7699,7807,41186.0
Los Angeles - Vernon Central,22095,42492.0,43543,4751,9137,9227,51998.0
Los Angeles - Victoria Park,2786,33171.0,32292,407,4846,4742,8399.0
Los Angeles - View Heights,1347,36465.0,36250,86,2328,2405,3694.0
Los Angeles - Watts,16635,38982.0,41265,3235,7581,7871,42674.0
Los Angeles - Wellington Square,2114,43011.0,42706,243,4944,4924,4915.0
Los Angeles - West Adams,11706,42367.0,41392,1490,5393,5320,27630.0
Los Angeles - West Hills,16239,40052.0,41506,1027,2533,2720,40545.0
Los Angeles - West Los Angeles,18943,50332.0,49263,894,2375,2469,37636.0
Los Angeles - West Vernon,22591,42113.0,41900,3964,7389,7370,53644.0
Los Angeles - Westchester,20434,39598.0,38279,813,1575,1494,51603.0
Los Angeles - Westlake,21913,36919.0,36048,3374,5684,5678,59355.0
Los Angeles - Westwood,27708,51208.0,41781,898,1660,1350,54109.0
Los Angeles - Wholesale District,33134,91710.0,79107,3137,8683,7732,36129.0
Los Angeles - Wilmington,16818,29773.0,29851,2879,5097,5049,56487.0
Los Angeles - Wilshire Center,18279,36434.0,35151,1949,3885,3807,50170.0
Los Angeles - Winnetka,20408,39408.0,38297,2711,5235,5126,51786.0
Los Angeles - Woodland Hills,30629,45006.0,44511,1836,2698,2787,68055.0
