"place_ID","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate"
"Wholesale District",2693,6519,30,102,29589,70016,2466,5986
"Wilmington",2045,3607,28,62,12789,22798,1827,3217
"Wilshire Center",1333,2581,37,72,14614,27953,1277,2481
"Winnetka",1677,3139,19,35,16211,30296,1677,3141
"Woodland Hills",1250,1865,37,34,24836,35716,1171,1774
"Unincorporated  Acton",92,1272,3,25,1645,20457,87,1204
"Unincorporated  Agua Dulce",43,1155,0,0,880,21833,38,1041
"Unincorporated  Altadena",819,1936,18,32,13442,30997,740,1764
"Unincorporated  Anaverde",21,1503,0,0,263,19200,22,1623
"Unincorporated  Angeles National Forest",6,512,0,0,130,9797,4,349
"Unincorporated  Arcadia",110,1406,4,34,1902,23889,114,1465
"Unincorporated  Athens Village",278,5712,10,209,2029,41693,275,5656
"Unincorporated  Athens Westmont",1770,4198,32,84,12507,29565,1771,4208
"Unincorporated  Avocado Heights",333,4830,4,64,1793,26000,309,4471
"Unincorporated  Azusa",601,3667,5,40,3895,23907,566,3441
"Unincorporated  Bassett",750,4978,10,68,4228,27959,710,4709
"Unincorporated  Bouquet Canyon",10,1241,1,82,182,17321,6,657
"Unincorporated  Bradbury",4,303,1,255,104,8337,1,255
"Unincorporated  Canyon Country",179,2400,0,0,2268,31598,160,2164
"Unincorporated  Castaic",2222,7468,4,17,4996,18380,324,1180
"Unincorporated  Cerritos",25,4241,0,0,172,30018,22,3713
"Unincorporated  Claremont",25,4434,4,429,174,27167,22,3905
"Unincorporated  Covina",547,3150,8,42,4227,24515,492,2823
"Unincorporated  Covina Charter Oak",394,2981,3,25,3104,22736,371,2824
"Unincorporated  Del Aire",80,1803,2,44,1188,26385,68,1551
"Unincorporated  Del Rey",3,1312,0,0,211,95504,3,1312
"Unincorporated  Del Sur",25,1190,1,20,393,17917,20,924
"Unincorporated  Desert View Highlands",70,2815,1,24,583,23647,63,2547
"Unincorporated  Duarte",179,3966,4,114,1422,31911,161,3604
"Unincorporated  East Covina",5,1884,0,0,82,31421,4,1379
"Unincorporated  East La Mirada",133,2512,1,15,1183,21991,122,2291
"Unincorporated  East Lancaster",2,1846,0,0,25,22964,2,1846
"Unincorporated  East Los Angeles",7461,5943,119,110,43653,34791,7411,5902
"Unincorporated  East Pasadena",100,1558,2,18,1380,21313,67,1032
"Unincorporated  East Rancho Dominguez",739,4826,16,126,4175,27537,726,4735
"Unincorporated  East Whittier",111,2018,0,0,1060,19607,105,1921
"Unincorporated  El Camino Village",188,2147,3,24,1917,21935,188,2163
"Unincorporated  El Monte",7,7066,0,0,40,36342,7,7066
"Unincorporated  Elizabeth Lake",9,700,0,0,194,12441,9,700
"Unincorporated  Florence Firestone",4002,6276,56,117,20661,32172,3918,6114
"Unincorporated  Franklin Canyon",0,0,0,0,2,10310,0,0
"Unincorporated  Glendora",15,2301,0,0,134,20092,13,2151
"Unincorporated  Hacienda Heights",1264,2265,20,24,11469,19963,1189,2129
"Unincorporated  Harbor Gateway",0,0,0,0,8,11759,0,0
"Unincorporated  Hawthorne",69,2640,0,0,601,23578,59,2278
"Unincorporated  Hi Vista",8,779,0,0,102,10175,6,589
"Unincorporated  Kagel Lopez Canyons",50,4099,1,113,607,47232,50,4144
