geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
Unincorporated - Covina,807,4798,4678,9,54,48,16819
Unincorporated - Covina (Charter Oak),542,4124,4091,4,30,31,13144
Unincorporated - Del Aire,122,2777,2758,2,46,44,4393
Unincorporated - Del Rey,10,3145,4362,0,0,0,318
Unincorporated - Del Sur,52,2153,2246,0,0,0,2415
Unincorporated - Desert View Highlands,118,4733,4633,1,40,24,2493
Unincorporated - Duarte,362,8175,7909,4,90,114,4428
Unincorporated - East Covina,13,3951,7376,0,0,0,329
Unincorporated - East La Mirada,189,3571,3496,1,19,15,5292
Unincorporated - East Lancaster,2,1754,1846,0,0,0,114
Unincorporated - East Los Angeles,9967,7956,7932,130,104,120,125269
Unincorporated - East Pasadena,117,1827,1811,2,31,18,6403
Unincorporated - East Rancho Dominguez,999,6526,6574,18,118,140,15308
Unincorporated - East Whittier,154,2902,2845,0,0,0,5306
Unincorporated - El Camino Village,257,2923,2918,3,34,24,8791
Unincorporated - El Monte,8,5517,7611,0,0,0,145
Unincorporated - Elizabeth Lake,21,1264,1605,0,0,0,1661
Unincorporated - Florence-Firestone,5373,8304,8423,60,93,126,64705
Unincorporated - Glendora,25,3788,3665,1,152,73,660
Unincorporated - Hacienda Heights,1803,3224,3266,21,38,26,55926
Unincorporated - Hawthorne,102,4057,3965,0,0,0,2514
Unincorporated - Hi Vista,12,1093,1160,0,0,0,1098
Unincorporated - Kagel/Lopez Canyons,61,4320,4874,1,71,113,1412
Unincorporated - La Crescenta-Montrose,364,1838,1939,3,15,11,19801
Unincorporated - La Habra Heights,11,1627,2624,1,148,88,676
Unincorporated - La Rambla,101,4867,4115,15,723,488,2075
Unincorporated - La Verne,56,2745,3169,0,0,0,2040
Unincorporated - Ladera Heights,154,2178,2434,3,42,18,7071
Unincorporated - Lake Hughes,17,2545,2981,0,0,0,668
Unincorporated - Lake Los Angeles,521,4010,4085,4,31,44,12994
Unincorporated - Lake Manor,45,2739,2997,1,61,47,1643
Unincorporated - Lennox,1157,5133,5156,7,31,53,22542
Unincorporated - Leona Valley,33,1885,2166,0,0,0,1751
Unincorporated - Littlerock,164,4079,4092,1,25,14,4021
Unincorporated - Littlerock/Juniper Hills,36,2776,2748,0,0,0,1297
Unincorporated - Littlerock/Pearblossom,169,4735,4952,0,0,0,3569
Unincorporated - Llano,14,1596,1468,0,0,0,877
Unincorporated - Marina del Rey,145,1541,1375,0,0,0,9411
Unincorporated - Monrovia,116,2989,2988,0,0,0,3881
Unincorporated - Newhall,39,17727,17668,0,0,0,220
Unincorporated - North Lancaster,52,4341,4555,1,83,32,1198
Unincorporated - North Whittier,382,4569,4518,10,120,107,8360
Unincorporated - Northeast San Gabriel,628,2613,2658,19,79,60,24036
Unincorporated - Palmdale,30,3563,4290,0,0,0,842
Unincorporated - Palos Verdes Peninsula,8,1288,2280,0,0,0,621
Unincorporated - Pearblossom/Llano,32,1636,1582,1,51,20,1956
Unincorporated - Pellissier Village,65,10501,10255,0,0,0,619
Unincorporated - Pomona,28,1445,4069,1,52,86,1938
Unincorporated - Quartz Hill,403,3123,3158,14,108,75,12906
Unincorporated - Rancho Dominguez,122,4585,4756,1,38,18,2661
Unincorporated - Roosevelt,31,3330,3334,0,0,0,931
Unincorporated - Rosewood,54,4199,4641,1,78,40,1286
Unincorporated - Rosewood/East Gardena,55,4610,5164,1,84,40,1193
Unincorporated - Rosewood/West Rancho Dominguez,176,5237,5233,1,30,22,3361
Unincorporated - Rowland Heights,1211,2373,2412,22,43,34,51022
Unincorporated - San Francisquito Canyon/Bouquet C,4,466,370,0,0,0,858
Unincorporated - San Jose Hills,1336,6607,6534,20,99,108,20221
Unincorporated - San Pasqual,15,737,826,0,0,0,2035
Unincorporated - Sand Canyon,7,2273,5895,0,0,0,308
Unincorporated - Santa Catalina Island,49,18352,21106,0,0,0,267
Unincorporated - Santa Monica Mountains,211,1133,1271,1,5,2,18621
Unincorporated - Saugus,52,33548,31131,0,0,0,155
Unincorporated - Saugus/Canyon Country,16,4494,8033,0,0,0,356
Unincorporated - South Antelope Valley,9,1978,3234,0,0,0,455
Unincorporated - South El Monte,137,7632,7275,0,0,0,1795
