geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
Unincorporated - San Pasqual,442,21720.0,22522,7,344,442,2035.0
Unincorporated - Sand Canyon,89,28896.0,58705,6,1948,5744,308.0
Unincorporated - Santa Catalina Island,841,314981.0,343737,30,11236,11071,267.0
Unincorporated - Santa Monica Mountains,6211,33355.0,38115,168,902,1040,18621.0
Unincorporated - Saugus,474,305806.0,286370,50,32258,29614,155.0
Unincorporated - Saugus/Canyon Country,124,34831.0,55912,14,3933,7738,356.0
Unincorporated - South Antelope Valley,106,23297.0,24201,10,2198,4728,455.0
Unincorporated - South El Monte,676,37660.0,36520,131,7298,6958,1795.0
Unincorporated - South San Gabriel,2844,32143.0,30311,300,3391,3329,8848.0
Unincorporated - South Whittier,17969,30342.0,29685,3020,5099,4969,59222.0
Unincorporated - Southeast Antelope Valley,202,25864.0,26168,24,3073,3231,781.0
Unincorporated - Stevenson Ranch,5974,28494.0,27474,316,1507,1476,20966.0
Unincorporated - Sun Village,1524,25249.0,25345,284,4705,4841,6036.0
Unincorporated - Sunrise Village,432,33333.0,34183,83,6404,6793,1296.0
Unincorporated - Twin Lakes/Oat Mountain,574,34620.0,33803,20,1206,1166,1658.0
Unincorporated - Val Verde,2469,74615.0,72774,1815,54850,53128,3309.0
Unincorporated - Valencia,898,29232.0,32527,63,2051,2917,3072.0
Unincorporated - Valinda,7350,31449.0,30825,1266,5417,5285,23371.0
Unincorporated - View Park/Windsor Hills,4783,41109.0,42308,241,2071,2199,11635.0
Unincorporated - Walnut Park,5837,36158.0,35614,1032,6393,6290,16143.0
Unincorporated - West Antelope Valley,181,11979.0,12402,8,529,576,1511.0
Unincorporated - West Carson,7070,32011.0,30709,551,2495,2412,22086.0
Unincorporated - West LA,896,94118.0,89131,20,2101,1738,952.0
Unincorporated - West Puente Valley,3287,33421.0,32646,594,6040,5915,9835.0
Unincorporated - West Rancho Dominguez,417,30684.0,30122,34,2502,2570,1359.0
Unincorporated - West Whittier/Los Nietos,9306,34563.0,34177,1550,5757,5653,26925.0
Unincorporated - Westfield/Academy Hills,298,22923.0,23158,11,846,918,1300.0
Unincorporated - Westhills,312,37187.0,40766,23,2741,3259,839.0
Unincorporated - White Fence Farms,874,23731.0,24896,109,2960,3070,3683.0
Unincorporated - Whittier,1001,26453.0,25780,100,2643,2601,3784.0
Unincorporated - Whittier Narrows,28,233333.0,121120,3,25000,15933,12.0
Unincorporated - Willowbrook,13654,39109.0,39669,2204,6313,6395,34913.0
Unincorporated - Wiseburn,2026,33615.0,33414,184,3053,2930,6027.0
