"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Angelino Heights",-118.251986,34.068331,2502,86,3522,1,38,1283,48690,85,3551,"Los Angeles - Angelino Heights"
"Arleta",-118.431775,34.241478,34370,2197,6224,28,94,12931,36542,1913,5448,"Los Angeles - Arleta"
"Atwater Village",-118.258308,34.119421,14666,383,2605,8,41,6675,45355,326,2217,"Los Angeles - Atwater Village"
"Baldwin Hills",-118.356095,34.014825,31125,823,2676,29,75,9316,29759,711,2320,"Los Angeles - Baldwin Hills"
"Bel Air",-118.460296,34.098692,8429,120,1548,0,0,3087,39739,99,1296,"Los Angeles - Bel Air"
"Beverly Crest",-118.424404,34.11298,12525,187,1863,2,9,4563,41232,140,1430,"Los Angeles - Beverly Crest"
"Beverlywood",-118.394492,34.044747,13173,229,1830,0,0,5459,43581,187,1465,"Los Angeles - Beverlywood"
"Boyle Heights",-118.20533,34.03815,86884,5664,6504,81,110,31878,36525,5167,5920,"Los Angeles - Boyle Heights"
"Brentwood",-118.485909,34.08524,30955,470,1451,4,9,13427,41467,340,1061,"Los Angeles - Brentwood"
"Brookside",-118.336327,34.058936,581,6,1017,0,0,252,49279,6,1017,"Los Angeles - Brookside"
"Cadillac Corning",-118.381794,34.042513,7121,185,2556,1,27,2064,28051,153,2101,"Los Angeles - Cadillac-Corning"
"Canoga Park",-118.600829,34.208098,65289,2852,4331,65,128,19917,30158,2459,3694,"Los Angeles - Canoga Park"
"Carthay",-118.372894,34.07124,14363,320,2953,18,61,6835,65834,248,2266,"Los Angeles - Carthay"
"Central",-118.258141,34.016399,38992,2720,7067,44,172,12910,34038,2506,6517,"Los Angeles - Central"
"Century City",-118.419399,34.052715,12792,181,1665,0,0,4970,43600,141,1318,"Los Angeles - Century City"
"Century Palms Cove",-118.267985,33.932641,33766,1956,5864,23,102,10461,31551,1753,5299,"Los Angeles - Century Palms/Cove"
"Chatsworth",-118.596089,34.256617,37061,1032,2884,35,63,12751,33375,845,2371,"Los Angeles - Chatsworth"
"Cheviot Hills",-118.408801,34.041277,9171,129,1522,3,15,4175,48317,92,1016,"Los Angeles - Cheviot Hills"
"Chinatown",-118.240969,34.06146,8021,204,2498,4,32,2729,32395,159,1916,"Los Angeles - Chinatown"
"Cloverdale Cochran",-118.356007,34.038941,14553,419,2756,5,37,4718,31243,382,2507,"Los Angeles - Cloverdale/Cochran"
"Country Club Park",-118.325579,34.054301,15153,472,2904,36,178,5135,32522,405,2483,"Los Angeles - Country Club Park"
"Crenshaw District",-118.335877,34.023057,13829,420,3043,5,22,4929,35468,381,2753,"Los Angeles - Crenshaw District"
"Crestview",-118.378658,34.049595,11368,254,2230,22,173,4778,43453,208,1849,"Los Angeles - Crestview"
