date_use,cumulative_persons_tested_all,cumulative_positive_persons_all,percent_positive_persons_cum,persons_tested,positive_persons,percent_positive_persons_date,avg_persons_tested,avg_positive_persons,percent_positive_persons_cum_avg_date
2020-09-12,2445143,238072,9.7%,20172,915,4.5%,27353.0,1070.0,3.9%
2020-09-11,2436288,237445,9.7%,35895,1303,3.6%,26043.0,1019.0,3.9%
2020-09-10,2421155,236572,9.8%,36133,1251,3.5%,25534.0,1040.0,4.1%
2020-09-09,2407063,235697,9.8%,38981,1411,3.6%,25079.0,1067.0,4.3%
2020-09-08,2392720,234710,9.8%,42473,1667,3.9%,25089.0,1090.0,4.3%
2020-09-07,2376695,233594,9.8%,9361,465,5%,24147.0,1057.0,4.4%
2020-09-06,2372741,233258,9.8%,8453,476,5.6%,27811.0,1244.0,4.5%
2020-09-05,2368427,232898,9.8%,11006,560,5.1%,27875.0,1247.0,4.5%
2020-09-04,2363177,232501,9.8%,32330,1452,4.5%,29254.0,1347.0,4.6%
2020-09-03,2349875,231557,9.9%,32951,1436,4.4%,29173.0,1372.0,4.7%
2020-09-02,2337280,230577,9.9%,39046,1577,4%,28980.0,1406.0,4.9%
2020-09-01,2321993,229467,9.9%,35883,1434,4%,28871.0,1446.0,5%
2020-08-31,2307624,228444,9.9%,35010,1773,5.1%,28859.0,1497.0,5.2%
2020-08-30,2293068,227219,9.9%,8901,497,5.6%,28984.0,1544.0,5.3%
2020-08-29,2288563,226852,9.9%,20658,1260,6.1%,29011.0,1567.0,5.4%
2020-08-28,2278789,226012,9.9%,31765,1627,5.1%,29000.0,1591.0,5.5%
2020-08-27,2265000,224964,9.9%,31594,1673,5.3%,29249.0,1647.0,5.6%
2020-08-26,2251994,223833,9.9%,38283,1857,4.9%,29405.0,1680.0,5.7%
2020-08-25,2235420,222520,10%,35800,1792,5%,29279.0,1700.0,5.8%
2020-08-24,2219944,221250,10%,35888,2104,5.9%,29390.0,1733.0,5.9%
2020-08-23,2203857,219785,10%,9086,657,7.2%,29485.0,1753.0,5.9%
2020-08-22,2199078,219309,10%,20586,1428,6.9%,29562.0,1759.0,6%
2020-08-21,2188972,218434,10%,33506,2017,6%,29754.0,1800.0,6%
2020-08-20,2173179,217118,10%,32688,1902,5.8%,29728.0,1819.0,6.1%
2020-08-19,2158606,215831,10%,37397,2002,5.4%,30235.0,1859.0,6.1%
2020-08-18,2142133,214463,10%,36581,2024,5.5%,30833.0,1926.0,6.2%
2020-08-17,2125874,213042,10%,36552,2239,6.1%,31518.0,1975.0,6.3%
2020-08-16,2108716,211560,10%,9622,703,7.3%,32427.0,2084.0,6.4%
2020-08-15,2103565,211059,10%,21934,1710,7.8%,32497.0,2099.0,6.5%
2020-08-14,2091923,209953,10%,33325,2151,6.5%,32798.0,2130.0,6.5%
2020-08-13,2075452,208579,10%,36237,2185,6%,33639.0,2234.0,6.6%
2020-08-12,2058218,207106,10.1%,41579,2468,5.9%,34577.0,2314.0,6.7%
2020-08-11,2038392,205440,10.1%,41377,2370,5.7%,34739.0,2359.0,6.8%
2020-08-10,2018390,203791,10.1%,42917,3003,7%,35179.0,2462.0,7%
2020-08-09,1997116,201726,10.1%,10107,805,8%,34780.0,2484.0,7.1%
2020-08-08,1991433,201130,10.1%,24045,1930,8%,34918.0,2496.0,7.1%
2020-08-07,1978095,199888,10.1%,39214,2876,7.3%,35276.0,2552.0,7.2%
2020-08-06,1957852,197986,10.1%,42802,2747,6.4%,35393.0,2591.0,7.3%
2020-08-05,1936704,196133,10.1%,42709,2783,6.5%,35278.0,2653.0,7.5%
2020-08-04,1915660,194185,10.1%,44461,3093,7%,35508.0,2723.0,7.7%
2020-08-03,1893021,192043,10.1%,40120,3151,7.9%,35418.0,2775.0,7.8%
2020-08-02,1872733,189864,10.1%,11075,894,8.1%,36086.0,2856.0,7.9%
2020-08-01,1866112,189209,10.1%,26553,2318,8.7%,36103.0,2868.0,7.9%
2020-07-31,1850804,187582,10.1%,40031,3150,7.9%,36164.0,2958.0,8.2%
2020-07-30,1828826,185534,10.1%,41998,3180,7.6%,34860.0,3067.0,8.8%
2020-07-29,1806470,183260,10.1%,44315,3274,7.4%,34359.0,3204.0,9.3%
2020-07-28,1782762,180958,10.2%,43831,3459,7.9%,34593.0,3311.0,9.6%
2020-07-27,1752930,178424,10.2%,44796,3720,8.3%,34785.0,3424.0,9.8%
2020-07-26,1721215,175259,10.2%,11196,974,8.7%,34637.0,3531.0,10.2%
2020-07-25,1714194,174520,10.2%,26984,2951,10.9%,34555.0,3553.0,10.3%
2020-07-24,1694165,172064,10.2%,30901,3908,12.6%,34654.0,3540.0,10.2%
2020-07-23,1675751,169343,10.1%,38488,4143,10.8%,36425.0,3563.0,9.8%
2020-07-22,1654903,166754,10.1%,45955,4024,8.8%,37389.0,3580.0,9.6%
2020-07-21,1629560,163796,10.1%,45178,4248,9.4%,36649.0,3539.0,9.7%
2020-07-20,1603434,160524,10%,43754,4466,10.2%,36580.0,3539.0,9.7%
2020-07-19,1577416,157138,10%,10626,1131,10.6%,36345.0,3531.0,9.7%
2020-07-18,1570756,156240,9.9%,27678,2858,10.3%,36350.0,3553.0,9.8%
2020-07-17,1552879,153964,9.9%,43296,4070,9.4%,36496.0,3570.0,9.8%
2020-07-16,1526251,150727,9.9%,45236,4266,9.4%,36221.0,3554.0,9.8%
2020-07-15,1498652,147330,9.8%,40776,3732,9.2%,36008.0,3551.0,9.9%
2020-07-14,1474191,144317,9.8%,44696,4251,9.5%,36578.0,3602.0,9.8%
2020-07-13,1446480,140871,9.7%,42109,4409,10.5%,36086.0,3587.0,9.9%
2020-07-12,1419491,137292,9.7%,10659,1288,12.1%,34789.0,3410.0,9.8%
2020-07-11,1412705,136250,9.6%,28698,2976,10.4%,34632.0,3399.0,9.8%
2020-07-10,1393625,133817,9.6%,41372,3958,9.6%,31446.0,3101.0,9.9%
2020-07-09,1367172,130617,9.6%,43747,4243,9.7%,27989.0,2786.0,10%
2020-07-08,1340135,127182,9.5%,44765,4092,9.1%,27975.0,2750.0,9.8%
2020-07-07,1311637,123822,9.4%,41253,4145,10%,27455.0,2725.0,9.9%
2020-07-06,1284389,120379,9.4%,33030,3165,9.6%,26960.0,2646.0,9.8%
2020-07-05,1262139,117700,9.3%,9560,1212,12.7%,27625.0,2702.0,9.8%
2020-07-04,1255633,116697,9.3%,6393,889,13.9%,27640.0,2679.0,9.7%
2020-07-03,1251166,115940,9.3%,17176,1756,10.2%,30391.0,2922.0,9.6%
2020-07-02,1239390,114458,9.2%,43647,3992,9.1%,33355.0,3169.0,9.5%
2020-07-01,1210000,111175,9.2%,41125,3915,9.5%,32497.0,3105.0,9.6%
2020-06-30,1182967,107872,9.1%,37788,3596,9.5%,31339.0,3006.0,9.6%
2020-06-29,1156900,104833,9.1%,37689,3557,9.4%,30489.0,2924.0,9.6%
2020-06-28,1130906,101814,9%,9662,1047,10.8%,29393.0,2817.0,9.6%
2020-06-27,1124251,100927,9%,25648,2590,10.1%,29174.0,2810.0,9.6%
2020-06-26,1106002,98873,8.9%,37923,3488,9.2%,27780.0,2719.0,9.8%
2020-06-25,1080006,95958,8.9%,37647,3544,9.4%,26218.0,2575.0,9.8%
2020-06-24,1054587,92863,8.8%,33013,3223,9.8%,24588.0,2438.0,9.9%
2020-06-23,1032563,90111,8.7%,31838,3020,9.5%,23596.0,2345.0,9.9%
2020-06-22,1011001,87507,8.7%,30022,2806,9.3%,22902.0,2249.0,9.8%
2020-06-21,990534,85109,8.6%,8126,1002,12.3%,22637.0,2188.0,9.7%
2020-06-20,984843,84256,8.6%,15894,1953,12.3%,22505.0,2142.0,9.5%
2020-06-19,973769,82696,8.5%,26989,2478,9.2%,22593.0,2072.0,9.2%
2020-06-18,956428,80686,8.4%,26237,2585,9.9%,22656.0,1982.0,8.7%
2020-06-17,939723,78538,8.4%,26068,2569,9.9%,22653.0,1908.0,8.4%
2020-06-16,922641,76423,8.3%,26976,2348,8.7%,22847.0,1841.0,8.1%
2020-06-15,904881,74565,8.2%,28167,2380,8.4%,23220.0,1764.0,7.6%
2020-06-14,885840,72659,8.2%,7205,682,9.5%,23023.0,1711.0,7.4%
2020-06-13,880920,72106,8.2%,16509,1464,8.9%,22974.0,1690.0,7.4%
2020-06-12,869701,70971,8.2%,27432,1843,6.7%,23530.0,1671.0,7.1%
2020-06-11,852242,69629,8.2%,26215,2068,7.9%,23482.0,1662.0,7.1%
2020-06-10,835552,68164,8.2%,27428,2101,7.7%,23052.0,1606.0,7%
2020-06-09,817573,66693,8.2%,29586,1810,6.1%,22326.0,1553.0,7%
2020-06-08,797572,65337,8.2%,26787,2008,7.5%,20993.0,1530.0,7.3%
2020-06-07,778743,63811,8.2%,6860,535,7.8%,19722.0,1430.0,7.3%
2020-06-06,773962,63361,8.2%,20399,1333,6.5%,19577.0,1414.0,7.2%
2020-06-05,759133,62325,8.2%,27097,1778,6.6%,18896.0,1392.0,7.4%
2020-06-04,740381,61009,8.2%,23207,1679,7.2%,18539.0,1401.0,7.6%
2020-06-03,724340,59655,8.2%,22348,1727,7.7%,18676.0,1410.0,7.5%
2020-06-02,708650,58258,8.2%,20256,1649,8.1%,19220.0,1438.0,7.5%
2020-06-01,694711,56853,8.2%,17888,1308,7.3%,20412.0,1565.0,7.7%
2020-05-31,682367,55802,8.2%,5844,421,7.2%,18770.0,1485.0,7.9%
2020-05-30,678400,55489,8.2%,15632,1182,7.6%,18758.0,1494.0,8%
2020-05-29,666759,54555,8.2%,24599,1844,7.5%,18855.0,1474.0,7.8%
2020-05-28,648656,53037,8.2%,24162,1739,7.2%,18815.0,1425.0,7.6%
2020-05-27,631247,51600,8.2%,26161,1921,7.3%,18660.0,1406.0,7.5%
2020-05-26,612099,50079,8.2%,28601,2541,8.9%,18430.0,1424.0,7.7%
2020-05-25,591571,48160,8.1%,6394,748,11.7%,17698.0,1292.0,7.3%
2020-05-24,587143,47573,8.1%,5755,481,8.4%,20417.0,1445.0,7.1%
2020-05-23,583024,47200,8.1%,16311,1047,6.4%,20563.0,1456.0,7.1%
2020-05-22,570546,46518,8.2%,24322,1499,6.2%,20749.0,1458.0,7%
2020-05-21,552205,45565,8.3%,23079,1608,7%,21362.0,1512.0,7.1%
2020-05-20,535230,44531,8.3%,24546,2045,8.3%,22176.0,1562.0,7%
2020-05-19,516592,43319,8.4%,23481,1618,6.9%,22288.0,1471.0,6.6%
2020-05-18,498383,42281,8.5%,25425,1816,7.1%,22390.0,1456.0,6.5%
2020-05-17,479764,41128,8.6%,6776,559,8.2%,21784.0,1395.0,6.4%
2020-05-16,474975,40746,8.6%,17613,1058,6%,21645.0,1383.0,6.4%
2020-05-15,461292,40036,8.7%,28617,1880,6.6%,21298.0,1367.0,6.4%
2020-05-14,439595,38607,8.8%,28776,1958,6.8%,20117.0,1275.0,6.3%
2020-05-13,419900,37153,8.8%,25329,1405,5.5%,19208.0,1171.0,6.1%
2020-05-12,399912,36122,9%,24192,1516,6.3%,18974.0,1162.0,6.1%
2020-05-11,380216,34962,9.2%,21182,1388,6.6%,18523.0,1152.0,6.2%
2020-05-10,362704,33896,9.3%,5805,474,8.2%,18289.0,1096.0,6%
2020-05-09,358150,33537,9.4%,15182,947,6.2%,18424.0,1100.0,6%
2020-05-08,345197,32817,9.5%,20356,1239,6.1%,18458.0,1082.0,5.9%
2020-05-07,327855,31842,9.7%,22411,1231,5.5%,18424.0,1069.0,5.8%
2020-05-06,308728,30858,10%,23689,1340,5.7%,18032.0,1062.0,5.9%
2020-05-05,288249,29789,10.3%,21033,1442,6.9%,16593.0,1047.0,6.3%
2020-05-04,270316,28607,10.6%,19544,999,5.1%,15459.0,1020.0,6.6%
2020-05-03,253164,27857,11%,6755,503,7.4%,14487.0,1071.0,7.4%
2020-05-02,247445,27476,11.1%,15420,822,5.3%,14176.0,1079.0,7.6%
2020-05-01,233698,26795,11.5%,20113,1145,5.7%,13426.0,1120.0,8.3%
2020-04-30,215912,25856,12%,19672,1182,6%,12040.0,1137.0,9.4%
2020-04-29,198732,24885,12.5%,13612,1237,9.1%,10322.0,1128.0,10.9%
2020-04-28,187380,23843,12.7%,13098,1255,9.6%,9527.0,1090.0,11.4%
2020-04-27,176242,22798,12.9%,12738,1356,10.6%,9044.0,1061.0,11.7%
2020-04-26,165489,21666,13.1%,4577,557,12.2%,8265.0,1025.0,12.4%
2020-04-25,161711,21217,13.1%,10174,1105,10.9%,8117.0,1012.0,12.5%
2020-04-24,152859,20257,13.3%,10406,1270,12.2%,7541.0,957.0,12.7%
2020-04-23,144038,19181,13.3%,7650,1117,14.6%,7212.0,899.0,12.5%
2020-04-22,137662,18235,13.2%,8045,968,12%,7241.0,865.0,11.9%
2020-04-21,130865,17434,13.3%,9720,1057,10.9%,7261.0,870.0,12%
2020-04-20,122492,16541,13.5%,7280,1099,15.1%,6659.0,835.0,12.5%
2020-04-19,116330,15605,13.4%,3541,466,13.2%,6210.0,796.0,12.8%
2020-04-18,113430,15221,13.4%,6146,721,11.7%,5906.0,771.0,13.1%
2020-04-17,108116,14594,13.5%,8099,866,10.7%,5519.0,732.0,13.3%
2020-04-16,101146,13859,13.7%,7855,879,11.2%,5284.0,704.0,13.3%
2020-04-15,94306,13103,13.9%,8185,1005,12.3%,5030.0,671.0,13.3%
2020-04-14,87086,12225,14%,5505,809,14.7%,4514.0,628.0,13.9%
2020-04-13,82275,11535,14%,4138,825,19.9%,4271.0,619.0,14.5%
2020-04-12,78844,10829,13.7%,1417,291,20.5%,4125.0,571.0,13.8%
2020-04-11,77713,10580,13.6%,3434,452,13.2%,4172.0,589.0,14.1%
2020-04-10,74661,10182,13.6%,6456,669,10.4%,4093.0,595.0,14.5%
2020-04-09,68821,9603,14%,6078,643,10.6%,3913.0,587.0,15%
2020-04-08,63308,9031,14.3%,4569,705,15.4%,3709.0,587.0,15.8%
2020-04-07,59253,8399,14.2%,3808,747,19.6%,3711.0,578.0,15.6%
