date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
2020-08-11,208706,1664,1626.0,5052,43,38.0
2020-08-10,207042,2044,1701.0,5009,43,38.0
2020-08-09,204998,645,1719.0,4966,40,38.0
2020-08-08,204353,1286,1731.0,4926,35,38.0
2020-08-07,203067,1877,1780.0,4891,33,40.0
2020-08-06,201190,1852,1816.0,4858,36,40.0
2020-08-05,199338,2012,1874.0,4822,34,41.0
2020-08-04,197326,2188,1920.0,4788,47,42.0
2020-08-03,195138,2172,1974.0,4741,41,40.0
2020-08-02,192966,733,2035.0,4700,39,40.0
2020-08-01,192233,1629,2044.0,4661,47,40.0
2020-07-31,190604,2125,2101.0,4614,38,40.0
2020-07-30,188479,2261,2155.0,4576,41,40.0
2020-07-29,186218,2335,2205.0,4535,39,40.0
2020-07-28,183883,2563,2299.0,4496,32,42.0
2020-07-27,181320,2600,2395.0,4464,42,44.0
2020-07-26,178720,792,2509.0,4422,44,43.0
2020-07-25,177928,2031,2548.0,4378,46,42.0
2020-07-24,175897,2506,2594.0,4332,39,40.0
2020-07-23,173391,2605,2704.0,4293,38,40.0
2020-07-22,170786,2999,2818.0,4255,50,41.0
2020-07-21,167787,3229,2823.0,4205,46,39.0
2020-07-20,164558,3403,2846.0,4159,41,39.0
2020-07-19,161155,1062,2868.0,4118,37,41.0
2020-07-18,160093,2352,2893.0,4081,32,40.0
2020-07-17,157741,3279,2909.0,4049,36,40.0
2020-07-16,154462,3401,2909.0,4013,43,41.0
2020-07-15,151061,3038,2902.0,3970,37,39.0
2020-07-14,148023,3386,2952.0,3933,48,39.0
2020-07-13,144637,3556,2962.0,3885,55,37.0
2020-07-12,141081,1238,2842.0,3830,30,34.0
2020-07-11,139843,2464,2834.0,3800,33,35.0
2020-07-10,137379,3282,2611.0,3767,40,35.0
2020-07-09,134097,3350,2358.0,3727,32,34.0
2020-07-08,130747,3388,2343.0,3695,35,35.0
2020-07-07,127359,3456,2348.0,3660,33,34.0
2020-07-06,123903,2714,2290.0,3627,35,35.0
2020-07-05,121189,1182,2323.0,3592,39,34.0
2020-07-04,120007,906,2312.0,3553,28,34.0
2020-07-03,119101,1509,2475.0,3525,33,34.0
2020-07-02,117592,3243,2666.0,3492,41,34.0
2020-07-01,114349,3427,2619.0,3451,29,31.0
2020-06-30,110922,3046,2509.0,3422,38,32.0
2020-06-29,107876,2951,2421.0,3384,32,30.0
2020-06-28,104925,1099,2315.0,3352,40,30.0
2020-06-27,103826,2048,2293.0,3312,24,28.0
2020-06-26,101778,2846,2215.0,3288,31,30.0
2020-06-25,98932,2918,2065.0,3257,25,31.0
2020-06-24,96014,2655,1909.0,3232,37,32.0
2020-06-23,93359,2430,1803.0,3195,21,32.0
2020-06-22,90929,2210,1721.0,3174,30,32.0
2020-06-21,88719,947,1693.0,3144,30,33.0
2020-06-20,87772,1497,1680.0,3114,39,33.0
2020-06-19,86275,1799,1646.0,3075,35,31.0
2020-06-18,84476,1825,1602.0,3040,29,30.0
2020-06-17,82651,1916,1543.0,3011,40,29.0
2020-06-16,80735,1856,1485.0,2971,24,27.0
2020-06-15,78879,2008,1412.0,2947,32,29.0
2020-06-14,76871,856,1348.0,2915,29,30.0
2020-06-13,76015,1259,1325.0,2886,28,31.0
2020-06-12,74756,1497,1300.0,2858,29,32.0
2020-06-11,73259,1412,1284.0,2829,24,33.0
2020-06-10,71847,1510,1302.0,2805,26,36.0
2020-06-09,70337,1341,1277.0,2779,36,39.0
2020-06-08,68996,1561,1286.0,2743,38,38.0
2020-06-07,67435,696,1235.0,2705,35,38.0
2020-06-06,66739,1082,1205.0,2670,35,37.0
2020-06-05,65657,1383,1182.0,2635,40,38.0
2020-06-04,64274,1541,1197.0,2595,45,37.0
2020-06-03,62733,1335,1157.0,2550,45,35.0
2020-06-02,61398,1403,1164.0,2505,30,35.0
2020-06-01,59995,1203,1204.0,2475,37,37.0
2020-05-31,58792,487,1167.0,2438,30,35.0
2020-05-30,58305,919,1170.0,2408,37,36.0
